# Track list
# Format: time,title,artist,remixer

,Mind Games,Bukka & Molinari,
,Magnets (V.I.P.) ft. Lorde,Disclosure,
,L.O.V.E.,"Boris Dlugosch, Purple Disco Machine",
,Unputdownable,Roisin Murphy,Tom Demac
,1up (Club Dub),Robosonic featuring Jeru the Damaja,
,Innerbloom,RUFUS,H.O.S.H.
,Birthday Card,Marcus Marr & Chet Faker,
,Vermillion,Damian Lazarus & The Ancient Moons,&ME
,Freeplay,Leo Wölfel,
,House Nation,DJ Roland Clark & Sante Sansone,Riva Starr
,Cursed ft.  Michael O,Flex Cop,
,That Brooklyn Ish (Part 1),DJ E-Clyps,
,San Salvadore,Kahwe,
