# Track list
# Format: time,title,artist,remixer

,Done It Again (Edit),Nick Monaco vs Soul Clap,Soul Clap
,Step Forward,Rainer Trueby & Corrado Bucci,
,Beautyhell,Martin Waslewski,
,Jharon Shones,Kaiser Waldon,
,Elle (Original Mix),Teenage Mutants,
,Lost In Music (Remix),Sister Sledge,Dmitri from Paris
,Speaking To The Night,A.W.O.L. feat. Jape,
,Eche (Original Mix),Joachim Pastor,
,Soul Searching,Death On The Balcony,
,How Many Times (Remix),Elderbrook,Andhim
,Ooooooh,Super Flu,
,Boy Boy Boy (Remix),Andhim,MK
,Love Sweet Sound (Extended 12' Mix),Groove Armada,
